Candidate,State,Office Type,Date,Partisan Lean,Primary %,Won,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,Endorsements,value,Progressive
Donna Dion,ME,Governor,6/12/18,3.51,1.27,No,White,No,No,No,No,No,No,No
Donna Dion,ME,Governor,6/12/18,3.51,1.27,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Donna Lynne,CO,Governor,6/26/18,2.49,7.280000200000001,No,White,No,No,Yes,No,No,No,No
Dori Fenenbock,TX,Representative,3/6/18,35.419998,21.969998999999998,No,White,No,No,No,Yes,No,No,No
Doris Lee Turner,SC,Representative,6/12/18,-28.309998999999998,29.459999,No,White,No,No,No,No,No,No,No
Doris Lee Turner,SC,Representative,6/12/18,-28.309998999999998,29.459999,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Doris Lee Turner,SC,Representative,6/12/18,-28.309998999999998,29.459999,No,White,No,No,No,No,WFP Endorsed?,Yes,No
Dorothy Gasque,WA,Representative,8/7/18,-8.510000199999999,,No,White,Yes,No,No,No,No,No,No
Dorothy Gasque,WA,Representative,8/7/18,-8.510000199999999,,No,White,Yes,No,No,No,Our Revolution Endorsed?,Yes,Yes
Dorothy Gasque,WA,Representative,8/7/18,-8.510000199999999,,No,White,Yes,No,No,No,Justice Dems Endorsed?,Yes,Yes
Dotty Nygard,CA,Representative,6/5/18,0.62,1.89,No,White,No,No,No,No,No,No,No
Dotty Nygard,CA,Representative,6/5/18,0.62,1.89,No,White,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Dotty Nygard,CA,Representative,6/5/18,0.62,1.89,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
"Doug ""New Blue"" Smith",AL,Governor,6/5/18,-28.879998999999998,3.27,No,White,Yes,No,No,No,No,No,No
Doug Wilson,OH,Representative,5/8/18,-13.63,3.9400001000000002,No,,No,No,Yes,No,No,No,No
Doug Wilson,OH,Representative,5/8/18,-13.63,3.74,No,,No,No,Yes,No,No,No,No
Douglas Applegate,CA,Representative,6/5/18,1.42,25.76,No,White,Yes,No,No,No,Justice Dems Endorsed?,Yes,Yes
Douglas Applegate,CA,Representative,6/5/18,1.42,25.76,No,White,Yes,No,No,No,No,No,No
Douglas Applegate,CA,Representative,6/5/18,1.42,25.76,No,White,Yes,No,No,No,VoteVets Endorsed?,Yes,No
Douglas Carpenter,IN,Representative,5/8/18,-23.43,5.3000002,No,White,No,No,No,No,No,No,No
Drew Edmondson,OK,Governor,6/26/18,-38.209998999999996,61.380001,Yes,White,Yes,No,Yes,No,No,No,No
