Candidate,State,Office Type,Date,Partisan Lean,Primary %,Won,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,Endorsements,value,Progressive
David Garcia,AZ,Governor,,,,No,,No,No,No,No,Sanders Endorsed?,No,No
Jared Polis,CO,Governor,,,,Yes,,No,No,No,No,Sanders Endorsed?,No,No
Andrew Gillum,FL,Governor,,,,No,,No,No,No,No,Sanders Endorsed?,No,No
Stacey Abrams,GA,Governor,,,,No,,No,No,No,No,Sanders Endorsed?,No,No
Ben Jealous,MD,Governor,,,,No,,No,No,No,No,Sanders Endorsed?,No,No
Abdul El-Sayed,MI,Governor,,,,,,No,No,No,No,Sanders Endorsed?,No,No
Gretchen Whitmer,MI,Governor,,,,Yes,,No,No,No,No,Sanders Endorsed?,No,No
Christine Hallquist,VT,Governor,,,,No,,No,No,No,No,Sanders Endorsed?,No,No
Kyrsten Sinema,AZ,Senator,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Dianne Feinstein,CA,Senator,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Tom Carper,DE,Senator,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Bill Nelson,FL,Senator,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Joe Donnelly,IN,Senator,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Amy Klobuchar,MN,Senator,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Tina Smith,MN,Senator,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Claire McCaskill,MO,Senator,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Jon Tester,MT,Senator,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Jacky Rosen,NV,Senator,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Heidi Heitkamp,ND,Senator,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Sherrod Brown,OH,Senator,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Phil Bredesen,TN,Senator,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Tammy Baldwin,WI,Senator,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Clarke Tucker,AK,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
TJ Cox,CA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
