Candidate,State,Office Type,Date,Partisan Lean,Primary %,Won,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,Endorsements,value,Progressive
Archie Parnell,SC,Representative,6/12/18,-19.3,60.0,Yes,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Arden Andersen,KS,Governor,8/7/18,-23.4,7.9,No,White,Yes,No,No,No,No,No,No
Arn Menconi,CO,Representative,6/26/18,-13.0,8.2,No,White,No,No,No,No,No,No,No
Aruna Miller,MD,Representative,6/26/18,11.9,30.7,No,Nonwhite,No,No,Yes,No,No,No,No
Aruna Miller,MD,Representative,6/26/18,11.9,30.7,No,Nonwhite,No,No,Yes,No,Guns Sense Candidate?,Yes,No
Aruna Miller,MD,Representative,6/26/18,11.9,30.7,No,Nonwhite,No,No,Yes,No,Emily Endorsed?,Yes,No
Asheesh Dewan,NV,Governor,6/12/18,0.9,1.0,No,Nonwhite,No,No,No,No,No,No,No
Ashley Lunkenheimer,PA,Representative,5/15/18,25.5,15.3,No,White,No,Yes,No,No,No,No,No
Audrey Denney,CA,Representative,6/5/18,-21.4,43.7,Yes,White,No,No,No,No,No,No,No
Audrey Denney,CA,Representative,6/5/18,-21.4,43.7,Yes,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Audrey Denney,CA,Representative,6/5/18,-21.4,43.7,Yes,White,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Audri Scott Williams,AL,Representative,6/5/18,-33.1,39.6,No,Nonwhite,Yes,No,No,No,No,No,No
Augustine Reyes,TX,Representative,3/6/18,40.0,2.8,No,Nonwhite,Yes,No,No,No,No,No,No
Barbara Seidman,GA,Representative,5/22/18,-17.4,32.5,No,Nonwhite,No,No,No,No,No,No,No
Becky Anderson Wilkins,IL,Representative,3/20/18,0.7,6.0,No,White,No,No,No,No,No,No,No
Ben Jealous,MD,Governor,6/26/18,23.8,39.6,Yes,Nonwhite,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Ben Jealous,MD,Governor,6/26/18,23.8,39.6,Yes,Nonwhite,No,No,No,No,WFP Endorsed?,Yes,No
Ben Jealous,MD,Governor,6/26/18,23.8,39.6,Yes,Nonwhite,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Ben Jealous,MD,Governor,6/26/18,23.8,39.6,Yes,Nonwhite,No,No,No,No,No,No,No
Ben Jealous,MD,Governor,6/26/18,23.8,39.6,Yes,Nonwhite,No,No,No,No,Guns Sense Candidate?,Yes,No
Ben McAdams,UT,Representative,6/26/18,-16.8,100.0,Yes,White,No,No,Yes,No,Party Support?,Yes,No
Ben McAdams,UT,Representative,6/26/18,-16.8,100.0,Yes,White,No,No,Yes,No,No,No,No
Beth Vercolio-Osmund,IL,Representative,3/20/18,-17.4,13.0,No,White,No,No,No,No,No,No,No
Beto O'Rourke,TX,Senator,3/6/18,-13.2,61.8,Yes,White,No,No,Yes,No,Indivisible Endorsed?,Yes,No
Beto O'Rourke,TX,Senator,3/6/18,-13.2,61.8,Yes,White,No,No,Yes,No,No,No,No
Betsy Londrigan,IL,Representative,3/20/18,-6.7,45.7,Yes,White,No,No,No,No,No,No,No
Betsy Londrigan,IL,Representative,3/20/18,-6.7,45.7,Yes,White,No,No,No,No,Party Support?,Yes,No
Betsy Londrigan,IL,Representative,3/20/18,-6.7,45.7,Yes,White,No,No,No,No,Emily Endorsed?,Yes,No
Betsy Rader,OH,Representative,5/8/18,-12.0,100.0,Yes,,No,No,No,No,Party Support?,Yes,No
Betsy Rader,OH,Representative,5/8/18,-12.0,100.0,Yes,,No,No,No,No,No,No,No
Betsy Rader,OH,Representative,5/8/18,-12.0,100.0,Yes,,No,No,No,No,Emily Endorsed?,Yes,No
Betsy Sweet,ME,Governor,6/12/18,3.5,16.5,No,White,No,Yes,No,No,Guns Sense Candidate?,Yes,No
Betsy Sweet,ME,Governor,6/12/18,3.5,16.5,No,White,No,Yes,No,No,WFP Endorsed?,Yes,No
Betsy Sweet,ME,Governor,6/12/18,3.5,16.5,No,White,No,Yes,No,No,No,No,No
Bibiana Boerio,PA,Representative,5/15/18,-28.7,43.2,Yes,White,No,No,No,No,No,No,No
Bill Ebben,OH,Representative,5/8/18,-34.8,12.2,No,,Yes,No,No,No,No,No,No
Bill Haas,MO,Representative,8/7/18,-14.2,19.5,No,White,No,No,Yes,No,No,No,No
Bill Hopkins,SC,Representative,6/12/18,-19.2,17.8,No,White,No,No,No,No,No,No,No
Bill Hopkins,SC,Representative,6/12/18,-19.2,17.8,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Bill Wild,MI,Representative,8/7/18,60.7,14.0,No,White,No,No,Yes,No,No,No,No
Billie Sutton,SD,Governor,6/5/18,-29.4,100.0,Yes,White,No,No,No,No,No,No,No
Bob Daiber,IL,Governor,3/20/18,14.5,1.1,No,White,No,No,Yes,No,No,No,No
Bob Krist,NE,Governor,5/15/18,-26.8,59.8,Yes,White,Yes,No,Yes,No,No,No,No
Bobby Bliatout,CA,Representative,6/5/18,-13.4,12.3,No,Nonwhite,No,No,No,No,No,No,No
Bobby Kaple,GA,Representative,5/22/18,-9.5,26.2,No,White,No,No,No,No,No,No,No
Bobby Mahendra,NV,Senator,6/12/18,0.9,2.7,No,Nonwhite,No,No,No,No,No,No,No
Brad Ashford,NE,Representative,5/15/18,-6.0,48.4,No,,No,No,Yes,No,Party Support?,Yes,No
Brad Ashford,NE,Representative,5/15/18,-6.0,48.4,No,,No,No,Yes,No,No,No,No
Brad Ashford,NE,Representative,5/15/18,-6.0,48.4,No,,No,No,Yes,No,Guns Sense Candidate?,Yes,No
Brandon Brown,SC,Representative,6/12/18,-28.3,28.5,Yes,Nonwhite,No,No,No,No,No,No,No
Brenda Jones,MI,Representative,8/7/18,60.7,37.7,Yes,Nonwhite,No,No,Yes,No,No,No,No
Brendan Kelly,IL,Representative,3/20/18,-13.3,81.0,Yes,White,Yes,No,No,No,No,No,No
Brendan Kelly,IL,Representative,3/20/18,-13.3,81.0,Yes,White,Yes,No,No,No,Party Support?,Yes,No
Brendan Kelly,IL,Representative,3/20/18,-13.3,81.0,Yes,White,Yes,No,No,No,VoteVets Endorsed?,Yes,No
Brent Beal,TX,Representative,3/6/18,-48.7,39.0,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Brent Beal,TX,Representative,3/6/18,-48.7,39.0,No,White,No,No,No,No,No,No,No
Brent Ottaway,PA,Representative,5/15/18,-45.4,100.0,Yes,White,No,No,No,No,No,No,No
Brent Welder,KS,Representative,8/7/18,-4.0,33.9,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Brent Welder,KS,Representative,8/7/18,-4.0,33.9,No,White,No,No,No,No,No,No,No
Brent Welder,KS,Representative,8/7/18,-4.0,33.9,No,White,No,No,No,No,PCCC Endorsed?,Yes,Yes
Brent Welder,KS,Representative,8/7/18,-4.0,33.9,No,White,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Brent Welder,KS,Representative,8/7/18,-4.0,33.9,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Brett Shipp,TX,Representative,3/6/18,-5.0,16.3,No,White,No,No,No,No,No,No,No
Brian Deters,IL,Representative,3/20/18,-28.8,39.5,No,White,No,No,No,No,No,No,No
Brian Flynn,NY,Representative,6/26/18,-6.1,13.2,No,White,No,No,No,Yes,No,No,No
Brian Forde,CA,Representative,6/5/18,-1.4,13.1,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Brian Forde,CA,Representative,6/5/18,-1.4,13.1,No,White,No,No,No,No,No,No,No
Brian Pedigo,KY,Representative,5/22/18,-39.5,28.7,No,White,No,No,No,No,No,No,No
Brianna Westbrook,AZ,Representative,2/27/18,-24.6,39.7,No,White,No,Yes,No,No,No,No,No
Brianna Westbrook,AZ,Representative,2/27/18,-24.6,39.7,No,White,No,Yes,No,No,Justice Dems Endorsed?,Yes,Yes
Brianna Westbrook,AZ,Representative,2/27/18,-24.6,39.7,No,White,No,Yes,No,No,Our Revolution Endorsed?,Yes,Yes
Bruce Fischer,SC,Representative,6/12/18,-19.2,11.2,No,White,Yes,No,No,No,No,No,No
Bryan Caforio,CA,Representative,6/5/18,2.0,38.3,No,White,No,No,No,No,No,No,No
Bryan Caforio,CA,Representative,6/5/18,2.0,38.3,No,White,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Bryan Caforio,CA,Representative,6/5/18,2.0,38.3,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Carl Brewer,KS,Governor,8/7/18,-23.4,20.6,No,Nonwhite,Yes,No,Yes,No,No,No,No
Carl Spoerer,IL,Representative,3/20/18,-44.6,37.9,No,White,No,No,No,No,No,No,No
Carole Cheney,IL,Representative,3/20/18,0.7,17.4,No,White,No,No,No,No,No,No,No
Carolyn Bourdeaux,GA,Representative,5/22/18,-12.7,27.3,Yes,White,No,No,No,No,Emily Endorsed?,Yes,No
Carolyn Bourdeaux,GA,Representative,5/22/18,-12.7,27.3,Yes,White,No,No,No,No,No,No,No
Carolyn Long,WA,Representative,8/7/18,-8.5,,Yes,White,No,No,No,No,Guns Sense Candidate?,No,No
Cary Kennedy,CO,Governor,6/26/18,2.5,24.7,No,White,No,No,Yes,No,Emily Endorsed?,Yes,No
Cary Kennedy,CO,Governor,6/26/18,2.5,24.7,No,White,No,No,Yes,No,Guns Sense Candidate?,Yes,No
Cary Kennedy,CO,Governor,6/26/18,2.5,24.7,No,White,No,No,Yes,No,No,No,No
Catherine Krantz,TX,Representative,3/6/18,-55.0,68.6,Yes,White,No,No,No,No,No,No,No
Cathy Albro,MI,Representative,8/7/18,-11.4,68.2,Yes,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Cathy Albro,MI,Representative,8/7/18,-11.4,68.2,Yes,White,No,No,No,No,No,No,No
Cathy Glasson,IA,Governor,6/5/18,-8.1,20.5,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Cathy Glasson,IA,Governor,6/5/18,-8.1,20.5,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Cathy Glasson,IA,Governor,6/5/18,-8.1,20.5,No,White,No,No,No,No,PCCC Endorsed?,Yes,Yes
Cathy Glasson,IA,Governor,6/5/18,-8.1,20.5,No,White,No,No,No,No,No,No,No
Cathy Glasson,IA,Governor,6/5/18,-8.1,20.5,No,White,No,No,No,No,WFP Endorsed?,Yes,No
Cedric Davis,TX,Governor,3/6/18,-13.2,8.2,No,Nonwhite,No,No,Yes,No,No,No,No
Chalis Montgomery,GA,Representative,5/22/18,-28.2,26.5,No,White,No,No,No,No,No,No,No
Charlotte Moore,VA,Representative,6/12/18,-26.0,18.5,No,White,No,No,Yes,No,No,No,No
Chase Kohne,CO,Representative,6/26/18,-24.7,35.3,No,White,Yes,No,No,No,No,No,No
Chetan Panda,TX,Representative,3/6/18,-19.2,9.0,No,Nonwhite,No,No,No,No,No,No,No
Chintan Desai,AR,Representative,5/22/18,-34.8,100.0,Yes,Nonwhite,No,No,No,No,No,No,No
Chintan Desai,AR,Representative,5/22/18,-34.8,100.0,Yes,Nonwhite,No,No,No,No,Indivisible Endorsed?,Yes,No
Chintan Desai,AR,Representative,5/22/18,-34.8,100.0,Yes,Nonwhite,No,No,No,No,Guns Sense Candidate?,Yes,No
Chris Giunchigliani,NV,Governor,6/12/18,0.9,38.9,No,,No,No,Yes,No,WFP Endorsed?,Yes,No
Chris Giunchigliani,NV,Governor,6/12/18,0.9,38.9,No,,No,No,Yes,No,Guns Sense Candidate?,Yes,No
Chris Giunchigliani,NV,Governor,6/12/18,0.9,38.9,No,,No,No,Yes,No,Emily Endorsed?,Yes,No
Chris Giunchigliani,NV,Governor,6/12/18,0.9,38.9,No,,No,No,Yes,No,No,No,No
Chris Graves,MD,Representative,6/26/18,11.9,1.6,No,White,No,No,No,No,No,No,No
Chris Janicek,NE,Senator,5/15/18,-26.8,20.2,No,,No,No,No,No,No,No,No
Chris Kennedy,IL,Governor,3/20/18,14.5,24.4,No,White,No,No,No,Yes,No,No,No
Chris Perri,TX,Representative,3/6/18,-19.2,32.8,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Chris Perri,TX,Representative,3/6/18,-19.2,32.8,No,White,No,No,No,No,Indivisible Endorsed?,Yes,No
Chris Perri,TX,Representative,3/6/18,-19.2,32.8,No,White,No,No,No,No,No,No,No
Chris Perri,TX,Representative,3/6/18,-19.2,32.8,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Chris Rieger,PA,Representative,5/15/18,-18.7,24.9,No,White,No,No,No,No,No,No,No
Chris Smith,MI,Representative,8/7/18,-8.3,29.1,No,White,No,No,No,No,No,No,No
Chrissy Houlahan,PA,Representative,5/15/18,5.2,100.0,Yes,White,Yes,No,No,No,Guns Sense Candidate?,Yes,No
Christian Cano,NC,Representative,5/8/18,-14.1,17.2,No,Nonwhite,No,Yes,No,No,No,No,No
Christina Lord,KY,Representative,5/22/18,-36.6,21.7,No,White,No,No,No,No,No,No,No
Christina McNeil,ID,Representative,5/15/18,-39.4,69.7,Yes,Nonwhite,No,No,No,No,No,No,No
Christine Brown,WA,Representative,8/7/18,-25.1,,Yes,White,No,No,No,No,No,No,No
Christine Mann,TX,Representative,3/6/18,-17.4,33.5,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Christine Mann,TX,Representative,3/6/18,-17.4,33.5,No,White,No,No,No,No,No,No,No
Christine Mann,TX,Representative,3/6/18,-17.4,33.5,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Christopher Countryman,AL,Governor,6/5/18,-28.9,1.7,No,White,No,Yes,No,No,No,No,No
Christopher Finley,TN,Representative,8/2/18,-49.1,15.1,No,,No,No,No,No,No,No,No
Christopher Hale,TN,Representative,8/2/18,-41.5,34.7,No,White,No,No,No,No,No,No,No
Christopher Hearsey,MD,Representative,6/26/18,11.9,0.9,No,White,No,No,No,No,No,No,No
Christopher Hearsey,MD,Representative,6/26/18,11.9,0.9,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Chuck Enderlin,GA,Representative,5/22/18,-34.4,59.9,Yes,White,Yes,No,No,No,No,No,No
Cindy Axne,IA,Representative,6/5/18,-4.1,57.8,Yes,White,No,No,No,No,Emily Endorsed?,Yes,No
Cindy Axne,IA,Representative,6/5/18,-4.1,57.8,Yes,White,No,No,No,No,No,No,No
Cindy Axne,IA,Representative,6/5/18,-4.1,57.8,Yes,White,No,No,No,No,Party Support?,Yes,No
Clarke Tucker,AR,Representative,5/22/18,-13.5,57.8,Yes,White,No,No,Yes,No,No,No,No
Clarke Tucker,AR,Representative,5/22/18,-13.5,57.8,Yes,White,No,No,Yes,No,Guns Sense Candidate?,Yes,No
Clarke Tucker,AR,Representative,5/22/18,-13.5,57.8,Yes,White,No,No,Yes,No,Party Support?,Yes,No
Clay Padgett,OK,Representative,6/26/18,-49.0,24.2,No,,Yes,No,No,No,No,No,No
Clint Koble,NV,Representative,6/12/18,-13.8,26.1,Yes,,No,No,No,No,No,No,No
Clint Koble,NV,Representative,6/12/18,-13.8,26.1,Yes,,No,No,No,No,Guns Sense Candidate?,Yes,No
Cody James Slatzer-Rose,OH,Representative,5/8/18,-31.2,16.2,No,,No,No,No,No,No,No,No
Coleman Young II,MI,Representative,8/7/18,60.7,12.0,No,Nonwhite,No,No,Yes,No,No,No,No
Colin Allred,TX,Representative,3/6/18,-5.0,38.4,Yes,Nonwhite,No,No,No,No,Guns Sense Candidate?,No,No
Constance Johnson,OK,Governor,6/26/18,-38.2,38.6,No,Nonwhite,No,No,Yes,No,No,No,No
Constance Johnson,OK,Governor,6/26/18,-38.2,38.6,No,Nonwhite,No,No,Yes,No,Our Revolution Endorsed?,Yes,Yes
Cort VanOstran,MO,Representative,8/7/18,-14.2,41.7,Yes,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Courtney Rowe,IA,Representative,6/5/18,-1.7,7.6,No,White,No,No,No,No,No,No,No
Courtney Rowe,IA,Representative,6/5/18,-1.7,7.6,No,White,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Courtney Tritch,IN,Representative,5/8/18,-35.5,79.1,Yes,White,No,No,No,No,No,No,No
Craig Fitzhugh,TN,Governor,8/2/18,-27.1,19.4,No,White,Yes,No,Yes,Yes,Our Revolution Endorsed?,Yes,Yes
Craig Fitzhugh,TN,Governor,8/2/18,-27.1,19.4,No,White,Yes,No,Yes,Yes,No,No,No
Craig Fitzhugh,TN,Governor,8/2/18,-27.1,19.4,No,White,Yes,No,Yes,Yes,Indivisible Endorsed?,Yes,No
Craig Olson,ME,Representative,6/12/18,-8.1,8.8,No,,No,No,No,No,Guns Sense Candidate?,Yes,No
Craig Olson,ME,Representative,6/12/18,-8.1,8.8,No,,No,No,No,No,No,No,No
Dale Mantey,TX,Representative,3/6/18,-21.3,36.6,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Dale Mantey,TX,Representative,3/6/18,-21.3,36.6,No,White,No,No,No,No,No,No,No
Damian Lara,NM,Representative,6/5/18,13.8,3.3,No,Nonwhite,No,No,No,No,No,No,No
Damon Martinez,NM,Representative,6/5/18,13.8,25.8,No,Nonwhite,Yes,No,No,No,VoteVets Endorsed?,Yes,No
Damon Martinez,NM,Representative,6/5/18,13.8,25.8,No,Nonwhite,Yes,No,No,No,No,No,No
Dan Helmer,VA,Representative,6/12/18,4.7,12.6,No,White,Yes,No,No,No,VoteVets Endorsed?,Yes,No
Dan Helmer,VA,Representative,6/12/18,4.7,12.6,No,White,Yes,No,No,No,No,No,No
Dan Helmer,VA,Representative,6/12/18,4.7,12.6,No,White,Yes,No,No,No,Guns Sense Candidate?,Yes,No
Dan Ward,VA,Representative,6/12/18,-10.0,27.3,No,White,Yes,No,No,No,Guns Sense Candidate?,Yes,No
Dan Ward,VA,Representative,6/12/18,-10.0,27.3,No,White,Yes,No,No,No,VoteVets Endorsed?,Yes,No
Dan Ward,VA,Representative,6/12/18,-10.0,27.3,No,White,Yes,No,No,No,No,No,No
Dan Wood,TX,Representative,3/6/18,-31.4,100.0,Yes,White,No,No,Yes,No,No,No,No
Dana Balter,NY,Representative,6/26/18,4.1,62.4,Yes,,No,No,No,No,WFP Endorsed?,Yes,No
Dana Balter,NY,Representative,6/26/18,4.1,62.4,Yes,,No,No,No,No,No,No,No
Dana Balter,NY,Representative,6/26/18,4.1,62.4,Yes,,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Dana Balter,NY,Representative,6/26/18,4.1,62.4,Yes,,No,No,No,No,Guns Sense Candidate?,Yes,No
Dana Balter,NY,Representative,6/26/18,4.1,62.4,Yes,,No,No,No,No,PCCC Endorsed?,Yes,Yes
Dana Balter,NY,Representative,6/26/18,4.1,62.4,Yes,,No,No,No,No,Indivisible Endorsed?,Yes,No
Daniel Burleigh,NV,Senator,6/12/18,0.9,2.3,No,,No,No,No,No,No,No,No
Daniel Canon,IN,Representative,5/8/18,-26.8,30.7,No,White,No,No,No,No,No,No,No
Daniel Canon,IN,Representative,5/8/18,-26.8,30.7,No,White,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Daniel K. Biss,IL,Governor,3/20/18,14.5,26.7,No,White,No,No,Yes,No,Indivisible Endorsed?,Yes,No
Daniel K. Biss,IL,Governor,3/20/18,14.5,26.7,No,White,No,No,Yes,No,No,No,No
Daniel K. Biss,IL,Governor,3/20/18,14.5,26.7,No,White,No,No,Yes,No,Our Revolution Endorsed?,Yes,Yes
Daniel Kemph,KY,Representative,5/22/18,-17.4,1.2,No,White,No,No,No,No,No,No,No
Daniel Roldan-Johnson,IL,Representative,3/20/18,-8.0,2.3,No,White,No,Yes,No,No,No,No,No
Danielle Mitchell,TN,Representative,8/2/18,-36.0,100.0,Yes,White,No,No,No,No,No,No,No
Danielle Mitchell,TN,Representative,8/2/18,-36.0,100.0,Yes,White,No,No,No,No,Indivisible Endorsed?,Yes,No
Danner Kline,AL,Representative,6/5/18,-48.5,100.0,Yes,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Danner Kline,AL,Representative,6/5/18,-48.5,100.0,Yes,White,No,No,No,No,No,No,No
Danny O'Connor,OH,Representative,5/8/18,-13.6,40.5,Yes,,No,No,Yes,No,Indivisible Endorsed?,Yes,No
Danny O'Connor,OH,Representative,5/8/18,-13.6,40.9,Yes,,No,No,Yes,No,Guns Sense Candidate?,Yes,No
Danny O'Connor,OH,Representative,5/8/18,-13.6,40.5,Yes,,No,No,Yes,No,No,No,No
Darin Patrick Griesey,IN,Representative,5/8/18,-34.1,6.7,No,White,No,No,No,No,No,No,No
Darrel Miller,IL,Representative,3/20/18,-28.8,18.8,No,White,No,No,No,No,No,No,No
Dave Cooper,GA,Representative,5/22/18,-60.8,47.3,No,White,Yes,No,No,No,Indivisible Endorsed?,Yes,No
Dave Cooper,GA,Representative,5/22/18,-60.8,47.3,No,White,Yes,No,No,No,No,No,No
Dave Min,CA,Representative,6/5/18,-1.4,38.7,No,Nonwhite,No,No,No,No,No,No,No
Dave Min,CA,Representative,6/5/18,-1.4,38.7,No,Nonwhite,No,No,No,No,Guns Sense Candidate?,Yes,No
David Baria,MS,Senator,6/5/18,-18.8,31.0,Yes,White,No,No,Yes,No,No,No,No
David Benac,MI,Representative,8/7/18,-9.2,21.7,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
David Benac,MI,Representative,8/7/18,-9.2,21.7,No,White,No,No,No,No,No,No,No
David Benac,MI,Representative,8/7/18,-9.2,21.7,No,White,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
David Benac,MI,Representative,8/7/18,-9.2,21.7,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
David Bequette,IL,Representative,3/20/18,-13.3,19.0,No,White,Yes,No,No,No,No,No,No
David Clark,PA,Representative,5/15/18,0.1,1.7,No,White,No,No,No,No,No,No,No
David Clegg,NY,Representative,6/26/18,-6.1,11.1,No,,No,No,No,Yes,Indivisible Endorsed?,Yes,No
David Clegg,NY,Representative,6/26/18,-6.1,11.1,No,,No,No,No,Yes,No,No,No
David Drew Knight,NV,Senator,6/12/18,0.9,4.4,No,,No,No,No,No,No,No,No
David Gill,IL,Representative,3/20/18,-6.7,14.4,No,White,No,No,No,No,No,No,No
David Gill,IL,Representative,3/20/18,-6.7,14.4,No,White,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
David Jones,NV,Governor,6/12/18,0.9,1.7,No,,No,No,No,No,No,No,No
David Kim,GA,Representative,5/22/18,-12.7,26.0,No,Nonwhite,No,No,No,Yes,No,No,No
David Matthew Hullum,OK,Representative,6/26/18,-32.0,5.0,No,,No,No,No,No,No,No,No
David McDevitt,WA,Representative,8/7/18,-8.5,,No,White,Yes,No,No,Yes,No,No,No
David Pechefsky,NY,Representative,6/26/18,-11.6,11.9,No,,No,No,No,No,No,No,No
David Peterson,CA,Representative,6/5/18,-21.4,7.3,No,White,No,No,No,No,No,No,No
David Trone,MD,Representative,6/26/18,11.9,40.3,Yes,White,No,No,No,Yes,Guns Sense Candidate?,Yes,No
David Trone,MD,Representative,6/26/18,11.9,40.3,Yes,White,No,No,No,Yes,No,No,No
David Wilson Brown,NC,Representative,5/8/18,-25.5,100.0,Yes,White,No,No,No,No,Guns Sense Candidate?,Yes,No
David Wilson Brown,NC,Representative,5/8/18,-25.5,100.0,Yes,White,No,No,No,No,No,No,No
Dawn Barlow,TN,Representative,8/2/18,-49.1,54.5,Yes,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Dawn Barlow,TN,Representative,8/2/18,-49.1,54.5,Yes,White,No,No,No,No,No,No,No
Dayna Steele,TX,Representative,3/6/18,-49.5,72.0,Yes,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Dayna Steele,TX,Representative,3/6/18,-49.5,72.0,Yes,White,No,No,No,No,Indivisible Endorsed?,Yes,No
Dayna Steele,TX,Representative,3/6/18,-49.5,72.0,Yes,White,No,No,No,No,No,No,No
Deanie Schaarsmith,CA,Representative,6/5/18,-4.2,1.8,No,White,No,No,No,No,No,No,No
Debra Haaland,NM,Representative,6/5/18,13.8,40.6,Yes,Nonwhite,No,No,No,No,No,No,No
Debra Haaland,NM,Representative,6/5/18,13.8,40.6,Yes,Nonwhite,No,No,No,No,Emily Endorsed?,Yes,No
Dee Thornton,IN,Representative,5/8/18,-15.6,53.0,Yes,Nonwhite,No,No,No,No,No,No,No
Delaine Eastin,CA,Governor,6/5/18,25.8,5.4,No,White,No,No,Yes,No,No,No,No
Delaine Eastin,CA,Governor,6/5/18,25.8,5.4,No,White,No,No,Yes,No,Guns Sense Candidate?,Yes,No
Delaine Eastin,CA,Governor,6/5/18,25.8,5.4,No,White,No,No,Yes,No,Our Revolution Endorsed?,Yes,Yes
Denise Adams,NC,Representative,5/8/18,-19.3,54.4,Yes,Nonwhite,No,No,Yes,No,No,No,No
Denise Adams,NC,Representative,5/8/18,-19.3,54.4,Yes,Nonwhite,No,No,Yes,No,WFP Endorsed?,Yes,No
Dennis Crawford,NE,Representative,5/15/18,-22.7,33.9,No,,No,No,No,No,Guns Sense Candidate?,Yes,No
Dennis Crawford,NE,Representative,5/15/18,-22.7,33.9,No,,No,No,No,No,No,No,No
Dennis J. Kucinich,OH,Governor,5/8/18,-7.9,23.0,No,White,No,No,Yes,No,No,No,No
Dennis J. Kucinich,OH,Governor,5/8/18,-7.9,23.0,No,White,No,No,Yes,No,Our Revolution Endorsed?,Yes,Yes
Denny Wolff,PA,Representative,5/15/18,-32.0,40.5,Yes,White,No,No,No,No,No,No,No
Derrick Crowe,TX,Representative,3/6/18,-15.5,23.0,No,White,No,No,No,No,No,No,No
Derrick Crowe,TX,Representative,3/6/18,-15.5,23.0,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Derrick Crowe,TX,Representative,3/6/18,-15.5,23.0,No,White,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Diane Mitsch Bush,CO,Representative,6/26/18,-13.0,64.1,Yes,White,No,No,Yes,No,Emily Endorsed?,Yes,No
Diane Mitsch Bush,CO,Representative,6/26/18,-13.0,64.1,Yes,White,No,No,Yes,No,No,No,No
Diane Russell,ME,Governor,6/12/18,3.5,2.2,No,White,No,No,Yes,No,Guns Sense Candidate?,Yes,No
Diane Russell,ME,Governor,6/12/18,3.5,2.2,No,White,No,No,Yes,No,No,No,No
Diane Russell,ME,Governor,6/12/18,3.5,2.2,No,White,No,No,Yes,No,WFP Endorsed?,Yes,No
Dion Douglas,IN,Representative,5/8/18,-15.6,10.3,No,White,No,No,No,No,No,No,No
Dominique Garcia,TX,Representative,3/6/18,40.0,2.6,No,Nonwhite,No,No,No,No,No,No,No
Donna Dion,ME,Governor,6/12/18,3.5,1.3,No,White,No,No,No,No,No,No,No
Donna Dion,ME,Governor,6/12/18,3.5,1.3,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Donna Lynne,CO,Governor,6/26/18,2.5,7.3,No,White,No,No,Yes,No,No,No,No
Dori Fenenbock,TX,Representative,3/6/18,35.4,22.0,No,White,No,No,No,Yes,No,No,No
Doris Lee Turner,SC,Representative,6/12/18,-28.3,29.5,No,White,No,No,No,No,No,No,No
Doris Lee Turner,SC,Representative,6/12/18,-28.3,29.5,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Doris Lee Turner,SC,Representative,6/12/18,-28.3,29.5,No,White,No,No,No,No,WFP Endorsed?,Yes,No
Dorothy Gasque,WA,Representative,8/7/18,-8.5,,No,White,Yes,No,No,No,No,No,No
Dorothy Gasque,WA,Representative,8/7/18,-8.5,,No,White,Yes,No,No,No,Our Revolution Endorsed?,Yes,Yes
Dorothy Gasque,WA,Representative,8/7/18,-8.5,,No,White,Yes,No,No,No,Justice Dems Endorsed?,Yes,Yes
